subject,session,run,status,label
119473,119473x20191001x3T,True,complete,antsct_2021-05-13_WT_PVS
116638,116638x20191003x3T,True,complete,antsct_2021-05-13_WT_PVS
117326,117326x20191003x3T,True,complete,antsct_2021-05-13_WT_PVS
118711,118711x20191008x3T,True,complete,antsct_2021-05-13_WT_PVS
107799,107799x20191010x3T,True,complete,antsct_2021-05-13_WT_PVS
122407,122407x20191010x3T,True,complete,antsct_2021-05-13_WT_PVS
123782,123782x20191022x3T,True,complete,antsct_2021-05-13_WT_PVS
120123,120123x20191029x3T,True,complete,antsct_2021-05-13_WT_PVS
123754,123754x20191105x3T,True,complete,antsct_2021-05-13_WT_PVS
122328,122328x20191107x3T,True,complete,antsct_2021-05-13_WT_PVS
122963,122963x20191112x3T,True,complete,antsct_2021-05-13_WT_PVS
117889,117889x20191113x3T,True,complete,antsct_2021-05-13_WT_PVS
122039,122039x20191114x3T,True,complete,antsct_2021-05-13_WT_PVS
118775,118775x20191114x3T,True,complete,antsct_2021-05-13_WT_PVS
100905x01,100905x01x20191126x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
120870,120870x20191205x3T,True,complete,antsct_2021-05-13_WT_PVS
124022,124022x20191210x3T,True,complete,antsct_2021-05-13_WT_PVS
124877,124877x20191212x3T,True,complete,antsct_2021-05-13_WT_PVS
120735,120735x20191212x3T,True,complete,antsct_2021-05-13_WT_PVS
121570,121570x20191219x3T,True,complete,antsct_2021-05-13_WT_PVS
117158,117158x20200109x3T,True,complete,antsct_2021-05-13_WT_PVS
118418,118418x20200109x3T,True,complete,antsct_2021-05-13_WT_PVS
114699,114699x20200115x3T,True,complete,antsct_2021-05-13_WT_PVS
111768x02,111768x02x20200116x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
123865,123865x20200121x3T,True,complete,antsct_2021-05-13_WT_PVS
121847,121847x20200123x3T,True,complete,antsct_2021-05-13_WT_PVS
119582,119582x20200204x3T,True,complete,antsct_2021-05-13_WT_PVS
122216,122216x20200205x3Txincomplete,True,complete,antsct_2021-05-13_WT_PVS
125067,125067x20200206x3T,True,complete,antsct_2021-05-13_WT_PVS
124563,124563x20200206x3T,True,complete,antsct_2021-05-13_WT_PVS
124534,124534x20200211x3T,True,complete,antsct_2021-05-13_WT_PVS
124305,124305x20200213x3T,True,complete,antsct_2021-05-13_WT_PVS
125699,125699x20200220x3T,True,complete,antsct_2021-05-13_WT_PVS
124597,124597x20200227x3T,True,complete,antsct_2021-05-13_WT_PVS
118317,118317x20200303x3T,True,complete,antsct_2021-05-13_WT_PVS
121526,121526x20200305x3T,True,complete,antsct_2021-05-13_WT_PVS
124048,124048x20200310x3T,True,complete,antsct_2021-05-13_WT_PVS
112286x01,112286x01x20200721x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
125800,125800x20200728x3T,True,complete,antsct_2021-05-13_WT_PVS
120686,120686x20200812x3T,True,complete,antsct_2021-05-13_WT_PVS
124509,124509x20200813x3T,True,complete,antsct_2021-05-13_WT_PVS
118998,118998x20200818x3T,True,complete,antsct_2021-05-13_WT_PVS
125675,125675x20200922x3T,True,complete,antsct_2021-05-13_WT_PVS
122139,122139x20200924x3T,True,complete,antsct_2021-05-13_WT_PVS
107486,107486x20200929x3T,True,complete,antsct_2021-05-13_WT_PVS
118743,118743x20201001x3T,True,complete,antsct_2021-05-13_WT_PVS
123575,123575x20201015x3T,True,complete,antsct_2021-05-13_WT_PVS
125107,125107x20201029x3T,True,complete,antsct_2021-05-13_WT_PVS
125840,125840x20201110x3T,True,complete,antsct_2021-05-13_WT_PVS
100049,100049x20201112x3T,True,complete,antsct_2021-05-13_WT_PVS
124775,124775x20201124x3T,True,complete,antsct_2021-05-13_WT_PVS
123831,123831x20201201x3T,True,complete,antsct_2021-05-13_WT_PVS
124822,124822x20210126x3T,True,complete,antsct_2021-05-13_WT_PVS
101162,101162x20210128x3T,True,complete,antsct_2021-05-13_WT_PVS
126004,126004x20210204x3T,True,complete,antsct_2021-05-13_WT_PVS
122865,122865x20210209x3T,True,complete,antsct_2021-05-13_WT_PVS
119254,119254x20210311x3T,True,complete,antsct_2021-05-13_WT_PVS
124568,124568x20210318x3T,True,complete,antsct_2021-05-13_WT_PVS
125572,125572x20210323x3T,True,complete,antsct_2021-05-13_WT_PVS
122975,122975x20210408x3T,True,complete,antsct_2021-05-13_WT_PVS
